QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
spring-framework-d681f77d625d4815563511e6abb96827c8aec2a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>,,low,low,low,low,,,,,,1,2,,,,,,,,,,,,,1,1,0,2,0,0,0,1,0,1,,,,,,,
Null,Null,low,low,low,low,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
<Method>Null.public Null( ): void,Null( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Package>org.apache.catalina.loader,org.apache.catalina.loader,low,low,low,low,,,,,,1,8,,,,,,,,,,,,,1,1,0,8,0,0,0,1,0,1,,,,,,,
org.apache.catalina.loader.WebappClassLoader,WebappClassLoader,low,low,low,low,0,1,0,0,0,1,8,1,0,0,1,0,0,0,0,0,0,0,,,,,8,,,,,,1,,,,,,,
<Method>org.apache.catalina.loader.WebappClassLoader.public WebappClassLoader( ): void,WebappClassLoader( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Package>org.springframework.aop,org.springframework.aop,low,low,medium-high,low,,,,,,31,102,,,,,,,,,,,,,24,4,20,102,0,0,0.833,1,0.833,31,,,,,,,
org.springframework.aop.Advisor,Advisor,low,low,low,low,0,1,0,1,0,2,3,1,0,0,1,0,0,0,0,0,0,0,,,,,3,,,,,,2,,,,,,,
<Method>org.springframework.aop.Advisor.public abstract isPerInstance( ): boolean,isPerInstance( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
org.springframework.aop.AfterAdvice,AfterAdvice,low,low,low,low,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,0,,,,,,,
org.springframework.aop.AfterReturningAdvice,AfterReturningAdvice,low,low,low,low,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
org.springframework.aop.AopInvocationException,AopInvocationException,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
org.springframework.aop.BeforeAdvice,BeforeAdvice,low,low,low,low,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,0,,,,,,,
org.springframework.aop.ClassFilter,ClassFilter,low,low,low,low,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,,,,,3,,,,,,1,,,,,,,
<Field>org.springframework.aop.ClassFilter->TRUE,static final TRUE : ClassFilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.springframework.aop.DynamicIntroductionAdvice,DynamicIntroductionAdvice,low,low,low,low,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
org.springframework.aop.IntroductionAdvisor,IntroductionAdvisor,low,low,low,low,0,1,0,1,0,2,3,1,0,0,1,0,0,0,0,0,0,0,,,,,3,,,,,,2,,,,,,,
<Method>org.springframework.aop.IntroductionAdvisor.public abstract validateInterfaces( ): void,validateInterfaces( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
org.springframework.aop.IntroductionAwareMethodMatcher,IntroductionAwareMethodMatcher,low,low,low,low,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
org.springframework.aop.IntroductionInfo,IntroductionInfo,low,low,low,low,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
org.springframework.aop.IntroductionInterceptor,IntroductionInterceptor,low,low,low,low,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,0,,,,,,,
org.springframework.aop.MethodBeforeAdvice,MethodBeforeAdvice,low,low,low,low,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
org.springframework.aop.MethodMatcher,MethodMatcher,low,low,low,low,0,1,0,1,0,3,5,1,0,1,1,0,0,0,0,0,0,0,,,,,5,,,,,,3,,,,,,,
<Method>org.springframework.aop.MethodMatcher.public abstract isRuntime( ): boolean,isRuntime( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Field>org.springframework.aop.MethodMatcher->TRUE,static final TRUE : MethodMatcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.springframework.aop.Pointcut,Pointcut,low,low,low,low,0,0,0,1,0,2,4,0,0,1,0,0,0,0,0,0,0,0,,,,,4,,,,,,2,,,,,,,
<Field>org.springframework.aop.Pointcut->TRUE,static final TRUE : Pointcut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.springframework.aop.PointcutAdvisor,PointcutAdvisor,low,low,low,low,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
org.springframework.aop.ProxyMethodInvocation,ProxyMethodInvocation,low,low,low,low,0,0,0,1,0,6,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,6,,,,,,,
org.springframework.aop.RawTargetAccess,RawTargetAccess,low,low,low,low,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,0,,,,,,,
org.springframework.aop.SpringProxy,SpringProxy,low,low,low,low,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,0,,,,,,,
org.springframework.aop.TargetClassAware,TargetClassAware,low,low,low,low,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
org.springframework.aop.TargetSource,TargetSource,low,low,low,low,0,1,0,1,0,4,6,1,0,0,1,0,0,0,0,0,0,0,,,,,6,,,,,,4,,,,,,,
