QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
junit5-13d39cfbd9a42d3e6d6679e869caf98b5e3386de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.example.mockito,com.example.mockito,low,low,low,low,,,,,,1,18,,,,,,,,,,,,,2,1,1,18,0,0,0.5,1,0.5,1,,,,,,,
com.example.mockito.InjectMock,InjectMock,low,low,low,low,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,3,,,,,,0,,,,,,,
com.example.mockito.MockitoExtension,MockitoExtension,low,low,low,low,0,1,0,0,0,1,15,2,0,0,1,0,0,0,0,0,0,0,,,,,15,,,,,,1,,,,,,,
<Method>com.example.mockito.MockitoExtension.public MockitoExtension( ): void,MockitoExtension( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Package>com.example.timing,com.example.timing,low,low,low,low,,,,,,0,18,,,,,,,,,,,,,1,1,0,18,0,0,0,1,0,0,,,,,,,
com.example.timing.TimingExtension,TimingExtension,low,low,low,low,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,,,,,18,,,,,,0,,,,,,,
<Package>org.junit.gen5.api,org.junit.gen5.api,low,low,medium-high,low,,,,,,11,217,,,,,,,,,,,,,12,2,10,217,0,0,0.833,1,0.833,11,,,,,,,
org.junit.gen5.api.AfterAll,AfterAll,low,low,low,low,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
org.junit.gen5.api.AfterEach,AfterEach,low,low,low,low,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
org.junit.gen5.api.Assertions,Assertions,low,low,low-medium,low,0,3,0,0,0,3,132,5,0,0,1,2,0,0,0.167,0,0,0,,,,,132,,,,,,3,,,,,,,
<Method>org.junit.gen5.api.Assertions.private Assertions( ): void,Assertions( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>org.junit.gen5.api.Assertions.public static assertFalse( boolean ): void,static assertFalse( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
<Method>org.junit.gen5.api.Assertions.public static assertTrue( boolean ): void,static assertTrue( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
org.junit.gen5.api.Assumptions,Assumptions,low,low,low,low,0,3,0,0,0,3,41,5,0,0,1,2,0,0,0.167,0,0,0,,,,,41,,,,,,3,,,,,,,
<Method>org.junit.gen5.api.Assumptions.private Assumptions( ): void,Assumptions( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>org.junit.gen5.api.Assumptions.public static assumeFalse( boolean ): void,static assumeFalse( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
<Method>org.junit.gen5.api.Assumptions.public static assumeTrue( boolean ): void,static assumeTrue( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
org.junit.gen5.api.BeforeAll,BeforeAll,low,low,low,low,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
