QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
lucene-solr-c9b7af045085bb44fada61cfa877f0238769ff72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.apache.lucene,org.apache.lucene,low,low,low,low,,,,,,1,4,,,,,,,,,,,,,1,1,0,4,0,0,0,1,0,1,,,,,,,
org.apache.lucene.LucenePackage,LucenePackage,low,low,low,low,0,1,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,,,,,4,,,,,,1,,,,,,,
<Method>org.apache.lucene.LucenePackage.private LucenePackage( ): void,LucenePackage( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Package>org.apache.lucene.analysis,org.apache.lucene.analysis,low-medium,low,very-high,low,,,,,,303,2318,,,,,,,,,,,,,50,48,2,2318,0,0,0.26,1,0.26,303,,,,,,,
org.apache.lucene.analysis.Analyzer,Analyzer,low,low,low-medium,low,0,4,0,0,0,5,100,11,1,2,4,0,0,1,0.375,0.833,0,0,,,,,100,,,,,,5,,,,,,,
org.apache.lucene.analysis.Analyzer.ReuseStrategy,ReuseStrategy,low,low,low,low,0,1,0,0,0,1,12,1,0,0,1,0,0,0,0,0,0,0,,,,,12,,,,,,1,,,,,,,
org.apache.lucene.analysis.Analyzer.TokenStreamComponents,TokenStreamComponents,low,low,low,low,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,,,,17,,,,,,0,,,,,,,
<Method>org.apache.lucene.analysis.Analyzer.public Analyzer( ): void,Analyzer( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>org.apache.lucene.analysis.Analyzer.public Analyzer( ReuseStrategy ): void,Analyzer( ReuseStrategy ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Method>org.apache.lucene.analysis.Analyzer.public close( ): void,close( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,0,0,0
<Method>org.apache.lucene.analysis.Analyzer.public final getReuseStrategy( ): ReuseStrategy,final getReuseStrategy( ): ReuseStrategy,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Field>org.apache.lucene.analysis.Analyzer->reuseStrategy,final reuseStrategy : ReuseStrategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.Analyzer->GLOBAL_REUSE_STRATEGY,static final GLOBAL_REUSE_STRATEGY : ReuseStrategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.Analyzer->PER_FIELD_REUSE_STRATEGY,static final PER_FIELD_REUSE_STRATEGY : ReuseStrategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.AnalyzerWrapper,AnalyzerWrapper,low,low,low,low,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,,,,20,,,,,,0,,,,,,,
org.apache.lucene.analysis.BaseTokenStreamTestCase,BaseTokenStreamTestCase,low,low,medium-high,low,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,,,,,560,,,,,,0,,,,,,,
org.apache.lucene.analysis.BaseTokenStreamTestCase.AnalysisThread,AnalysisThread,low,low,low,low,0,1,0,0,0,2,32,11,7,0,1,0,0,0,0,0,0,0,,,,,32,,,,,,2,,,,,,,
org.apache.lucene.analysis.BaseTokenStreamTestCase.CheckClearAttributesAttribute,CheckClearAttributesAttribute,low,low,low,low,0,1,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
org.apache.lucene.analysis.BaseTokenStreamTestCase.CheckClearAttributesAttributeImpl,CheckClearAttributesAttributeImpl,low,low,low,low,0,3,0,0,0,3,26,12,1,0,3,0,0,0,0,0,0,0,,,,,26,,,,,,3,,,,,,,
org.apache.lucene.analysis.CachingTokenFilter,CachingTokenFilter,low,low,low,low,0,5,1,0,0,10,33,27,0,0,5,0,0,0,0,0,0,0,,,,,33,,,,,,10,,,,,,,
<Method>org.apache.lucene.analysis.CachingTokenFilter.private fillCache( ): void,fillCache( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,0,0,0
<Method>org.apache.lucene.analysis.CachingTokenFilter.public final end( ): void,final end( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,0,0,0
<Method>org.apache.lucene.analysis.CachingTokenFilter.public final incrementToken( ): boolean,final incrementToken( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,10,0,1,0
<Method>org.apache.lucene.analysis.CachingTokenFilter.public isCached( ): boolean,isCached( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.apache.lucene.analysis.CachingTokenFilter.public reset( ): void,reset( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,0,0,0
org.apache.lucene.analysis.CannedBinaryTokenStream,CannedBinaryTokenStream,low,low,low,low,0,2,0,0,0,3,36,15,2,0,2,0,0,0.5,0.25,0,0,0,,,,,36,,,,,,3,,,,,,,
org.apache.lucene.analysis.CannedBinaryTokenStream.BinaryToken,BinaryToken,low,low,low,low,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,,,,,14,,,,,,0,,,,,,,
<Method>org.apache.lucene.analysis.CannedBinaryTokenStream.public CannedBinaryTokenStream( BinaryToken ): void,CannedBinaryTokenStream( BinaryToken ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,0,1
<Method>org.apache.lucene.analysis.CannedBinaryTokenStream.public incrementToken( ): boolean,incrementToken( ): boolean,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,12,0,0,4
<Field>org.apache.lucene.analysis.CannedBinaryTokenStream->tokens,final tokens : BinaryToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.CannedBinaryTokenStream->upto,upto : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.CannedTokenStream,CannedTokenStream,low,low,low,low,0,2,0,0,0,3,37,19,3,0,2,0,0,1,0,1,0,0,,,,,37,,,,,,3,,,,,,,
<Method>org.apache.lucene.analysis.CannedTokenStream.public end( ): void,end( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,3
<Method>org.apache.lucene.analysis.CannedTokenStream.public incrementToken( ): boolean,incrementToken( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,14,0,0,2
<Field>org.apache.lucene.analysis.CannedTokenStream->finalOffset,final finalOffset : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.CannedTokenStream->finalPosInc,final finalPosInc : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.CannedTokenStream->upto,upto : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.CharFilter,CharFilter,low,low,low,low,0,3,2,0,0,4,12,7,0,0,3,0,0,0,0.167,0,0,0,,,,,12,,,,,,4,,,,,,,
<Method>org.apache.lucene.analysis.CharFilter.protected abstract correct( int ): int,abstract correct( int ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-2147483648,1,1,0,0
<Method>org.apache.lucene.analysis.CharFilter.public close( ): void,close( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Method>org.apache.lucene.analysis.CharFilter.public final correctOffset( int ): int,final correctOffset( int ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,2,0
org.apache.lucene.analysis.CollationTestBase,CollationTestBase,low,low,low-medium,low,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,,,,,117,,,,,,0,,,,,,,
<Anonymous> : Lorg.apache.lucene.analysis.CollationTestBase$8720;,Lorg.apache.lucene.analysis.CollationTestBase$8720;,low,low,low,low,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,,,,16,,,,,,0,,,,,,,
org.apache.lucene.analysis.CrankyTokenFilter,CrankyTokenFilter,low,low,low,low,0,4,0,0,0,12,27,21,1,0,4,0,0,0,0,0,0,0,,,,,27,,,,,,12,,,,,,,
<Method>org.apache.lucene.analysis.CrankyTokenFilter.public close( ): void,close( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,0,0,1
<Method>org.apache.lucene.analysis.CrankyTokenFilter.public end( ): void,end( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,0,0,1
<Method>org.apache.lucene.analysis.CrankyTokenFilter.public incrementToken( ): boolean,incrementToken( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,0,0,1
<Method>org.apache.lucene.analysis.CrankyTokenFilter.public reset( ): void,reset( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,6,0,0,2
<Field>org.apache.lucene.analysis.CrankyTokenFilter->thingToDo, thingToDo : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.DelegatingAnalyzerWrapper,DelegatingAnalyzerWrapper,low,low,low,low,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,,,,,30,,,,,,0,,,,,,,
org.apache.lucene.analysis.DelegatingAnalyzerWrapper.DelegatingReuseStrategy,DelegatingReuseStrategy,low,low,low,low,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,,,,,19,,,,,,0,,,,,,,
