QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
dropwizard-parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>$,$,low,low,low,low,,,,,,0,1,,,,,,,,,,,,,1,1,0,1,0,0,0,1,0,0,,,,,,,
$.,,low,low,low,low,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,0,,,,,,,
<Package>com.example.helloworld,com.example.helloworld,low,low,low,low,,,,,,16,99,,,,,,,,,,,,,2,2,0,99,1,2,0,0.667,0.333,16,,,,,,,
com.example.helloworld.HelloWorldApplication,HelloWorldApplication,low-medium,high,low-medium,low,25,53,17,2,0,4,52,45,1,0,3,1,1,0,0.6,0.833,2,0.667,,,,,52,,,,,,4,,,,,,,
<Anonymous> : Lcom.example.helloworld.HelloWorldApplication$2745;,Lcom.example.helloworld.HelloWorldApplication$2745;,low,low,low,low,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Anonymous> : Lcom.example.helloworld.HelloWorldApplication$3077;,Lcom.example.helloworld.HelloWorldApplication$3077;,low,low,low,low,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Method>com.example.helloworld.HelloWorldApplication.public getName( ): String,getName( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Method>com.example.helloworld.HelloWorldApplication.public initialize( Bootstrap ): void,initialize( Bootstrap ): void,low,low-medium,low,low,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,21,1,7,1
"<Method>com.example.helloworld.HelloWorldApplication.public run( HelloWorldConfiguration, Environment ): void","run( HelloWorldConfiguration, Environment ): void",low,very-high,low,low,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,19,2,28,1
<Method>com.example.helloworld.HelloWorldApplication.public static main( String ): void,static main( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
<Field>com.example.helloworld.HelloWorldApplication->hibernateBundle,final hibernateBundle : HibernateBundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.example.helloworld.HelloWorldConfiguration,HelloWorldConfiguration,low-medium,low,low,medium-high,5,18,7,2,0,12,47,35,5,0,11,0,0,0.86,0.709,0.836,0,0,,,,,47,,,,,,12,,,,,,,
<Method>com.example.helloworld.HelloWorldConfiguration.public buildTemplate( ): Template,buildTemplate( ): Template,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,2
